week,slot_number,brand,recipe_title,person_size,calories,grams
2026-W22,53,HelloFresh,Sweet Potato and Refried Bean Burrito Bowl,2,2560,491.3
2026-W22,54,HelloFresh,Sambal Teriyaki Chicken Stir-Fry,2,2182,422.5
2026-W22,55,HelloFresh,Speedy Tomato Cajun Chicken,2,2336,565.3
2026-W22,56,HelloFresh,Easy Hoisin Chicken Noodles,2,2174,401
2026-W22,57,HelloFresh,Butterflied Chicken and Passion Fruit Hot Sauce,2,2363,591
2026-W22,58,HelloFresh,Turkish Inspired Chicken and Toasted Tomato Bulgur,2,2198,585.9
2026-W22,59,HelloFresh,Italian Style Sausage and Ditali Pasta Soup,2,2420,634.9
2026-W22,60,HelloFresh,Naked Beef Burger in Creamy Truffle Sauce,2,2455,505.3
2026-W22,61,HelloFresh,Crispy Chicken and Black Garlic Rice,2,2864,641.3
2026-W22,62,HelloFresh,Quick Basa and Mediterranean Style Pearl Couscous,2,2539,514.8
